X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,ns3_TrackPointExtension
-0.511893639340997,49.1460453718901,0,0,72,91.1999969482422,2020/12/11 07:54:20+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>20.0</ns3:atemp>            <ns3:hr>152</ns3:hr>            <ns3:cad>79</ns3:cad>          
-0.511728515848517,49.1461765486747,0,0,73,91.1999969482422,2020/12/11 07:54:25+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>20.0</ns3:atemp>            <ns3:hr>152</ns3:hr>            <ns3:cad>78</ns3:cad>          
-0.511526763439178,49.1462978348136,0,0,74,91.4000015258789,2020/12/11 07:54:31+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>20.0</ns3:atemp>            <ns3:hr>152</ns3:hr>            <ns3:cad>79</ns3:cad>          
-0.511359963566065,49.1464076377451,0,0,75,91.5999984741211,2020/12/11 07:54:37+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>20.0</ns3:atemp>            <ns3:hr>153</ns3:hr>            <ns3:cad>79</ns3:cad>          
-0.51113591529429,49.1465518902987,0,0,76,92.1999969482422,2020/12/11 07:54:43+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>20.0</ns3:atemp>            <ns3:hr>153</ns3:hr>            <ns3:cad>79</ns3:cad>          
-0.511111104860902,49.1465672291815,0,0,77,92,2020/12/11 07:54:44+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>20.0</ns3:atemp>            <ns3:hr>153</ns3:hr>            <ns3:cad>78</ns3:cad>          
-0.511050503700972,49.1466349549592,0,0,78,92.8000030517578,2020/12/11 07:54:48+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>20.0</ns3:atemp>            <ns3:hr>153</ns3:hr>            <ns3:cad>79</ns3:cad>          
-0.511032901704311,49.1466534789652,0,0,79,93,2020/12/11 07:54:49+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>20.0</ns3:atemp>            <ns3:hr>152</ns3:hr>            <ns3:cad>79</ns3:cad>          
-0.510943131521344,49.1467232163996,0,0,80,93.1999969482422,2020/12/11 07:54:53+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>20.0</ns3:atemp>            <ns3:hr>152</ns3:hr>            <ns3:cad>78</ns3:cad>          
-0.510915638878942,49.1467438358814,0,0,81,93.1999969482422,2020/12/11 07:54:54+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>20.0</ns3:atemp>            <ns3:hr>152</ns3:hr>            <ns3:cad>78</ns3:cad>          
-0.51076308824122,49.1468289960176,0,0,82,93.4000015258789,2020/12/11 07:54:59+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>20.0</ns3:atemp>            <ns3:hr>154</ns3:hr>            <ns3:cad>78</ns3:cad>          
-0.510675832629204,49.1468925308436,0,0,83,93.8000030517578,2020/12/11 07:55:02+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>20.0</ns3:atemp>            <ns3:hr>155</ns3:hr>            <ns3:cad>78</ns3:cad>          
-0.510590169578791,49.1469550598413,0,0,84,94.1999969482422,2020/12/11 07:55:05+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>20.0</ns3:atemp>            <ns3:hr>155</ns3:hr>            <ns3:cad>79</ns3:cad>          
